0 0 0.3 0 1 0.1 0.5 0.3 0.5 0.5 0.5 0.3 4.8294e-08 1.1048 0 0.56295 0 0 0.2
0.01 0 0.16 0 1 0.3 0.52 0.46 0.5 0.66 0.64 0.48 4.6041e-08 1.0533 0 0.27044 0 0.017083 0.2
0 0 0.1 0.86667 0 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.21357 0 1.0047 0.16269 0 0 0.2
0.0315 0 0 0 1 0.5 0.4 0.47 0.42 0.46 0.58 0.45 4.4872e-08 1.0265 0 0 0 0.050835 0.2
0.0315 0 0 0 0.86667 0.5 0.53333 0.47 0.55333 0.46 0.58 0.45 0.21085 0.99195 0 0 0 0.050219 0.2
0.000625 0 0.0009375 1 0.0475 0.425 0.52 0.56 0.525 0.52 0.555 0.405 4.4579e-08 3.3324e-09 1.0227 0.001506 0 0.001004 0.2
0 0.2 0 1 8.3267e-17 0.5 0.7 0.7 0.3 0.62 0.7 0.7 5.0485e-08 6.6032e-24 1.155 0 0.37527 0 0.2
0 0.01 0 0 1 0.5 0.4 0.485 0.42 0.46 0.58 0.455 4.4871e-08 1.0265 0 0 0.016126 0 0.2
0 0 0.23333 0.73334 0 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.39491 0 0.88698 0.3727 0 0 0.2
0 0 0.23333 0.60001 0 0.43333 0.5 0.5 0.5 0.5 0.5 0.5 0.55118 0 0.75865 0.35996 0 0 0.2
1 1 0 1 0 0.5 0.5 0.5 0.5 0.5 0.5 0.5 8.3519e-23 0 1.9107e-15 0 4.3711e-08 1 0.0125
0 0 0 0.96 0 0.625 0.32 0.76 0.325 0.32 0.755 0.605 0.078783 0 1.2522 0 0 0 0.2
0 0.01 0 0 0.86667 0.5 0.4 0.485 0.42 0.46 0.58 0.455 0.21343 1.0041 0 0 0.016126 0 0.2
0 0.1 0.03333 0.40001 0 0.55333 0.62 0.54 0.48 0.6125 0.54 0.54 0.82596 0 0.60012 0.053501 0.16193 0 0.2
0 0 0 0.96 0 0.625 0.32 0.62667 0.325 0.32 0.755 0.605 0.075546 0 1.2008 0 0 0 0.2
0 0 0.14 0.20001 0 0.35333 0.66 0.74 0.28 0.6525 0.58 0.74 1.1512 0 0.37408 0.27057 0 0 0.2
0.04 0 0.204 1e-05 0 0.33333 0.78 0.66 0.32 0.5325 0.46 0.7 1.1431 0 1.7956e-05 0.37939 0 0.075778 0.2
0 0 0.404 0 0 0.53333 0.98 0.86 0.12 0.3325 0.66 0.9 1.3845 0 0 1.0192 0 0 0.2
0 0 0.53733 0 0 0.53333 0.84667 0.86 0.12 0.3325 0.66 0.9 1.0691 0 0 1.2024 0 0 0.2
0.04 0.02 0.73733 0.04 0 0.33333 0.96467 0.66 0.288 0.1325 0.46 0.7 0.59519 0 0.037446 1.3624 0.046738 0.093614 0.2
0 0 0.93733 0.016 0 0.17333 0.7882 0.86 0.208 0.16575 0.46 0.86 0.16188 0 0.0040692 1.6396 0 0 0.2
0.06 0.0025 1 0 0.2 0.37333 0.7532 0.66 0.31988 0.12344 0.47813 0.66 5.4055e-08 1.7563e-08 0 1.3003 0.0051062 0.12291 0.2
0.026 0.02025 1 0 0.36 0.53333 0.6332 0.46 0.47988 0.2911 0.31813 0.46 4.0513e-08 2.571e-08 0 1.0977 0.034928 0.044879 0.2
0 0 1 0 0.56 0.33333 0.8332 0.66 0.67988 0.091096 0.11813 0.26 4.3672e-08 5.279e-08 0 1.5674 0 0 0.2
0 0.2 1 0 0.76 0.33333 0.94324 0.66 0.67988 0.091096 0.11813 0.26 2.5294e-08 6.3886e-08 0 1.5719 0.51075 0 0.2
0.0025 0.33 1 0 0.96 0.53333 0.94865 0.855 0.47988 0.2911 0.31813 0.455 3.3557e-09 5.3338e-08 0 1.2226 0.69739 0.0055275 0.2
0.081 0.13 0.94 0 1 0.33333 0.97379 0.655 0.67988 0.0911 0.15813 0.255 6.6036e-09 0.15107 0 1.5982 0.33244 0.20972 0.2
0.0025 0.46333 1 0 0.96 0.53333 0.81532 0.72167 0.47988 0.2911 0.31813 0.455 2.5182e-09 4.0025e-08 0 0.91747 0.81744 0.0048255 0.2
0.0025 0.19667 1 0 0.96 0.53333 0.81532 0.72167 0.47988 0.2911 0.31813 0.455 3.213e-09 5.1069e-08 0 1.1706 0.3736 0.0048255 0.2
0 0 0.004 0 0 0.53333 0.58 0.78 0.12 0.5225 0.66 0.9 1.4164 0 0 0.0088996 0 0 0.2
0.12 0.2 0 0 0 0.49333 0.78 0.74 0.048 0.4825 0.62 0.88 1.4008 0 0 0 0.45515 0.28097 0.2
0.0025 0.21 1 0 1 0.53333 0.94865 0.855 0.47988 0.2911 0.31813 0.455 2.5444e-15 5.8209e-08 0 1.3317 0.45593 0.0055275 0.2
0 0.66333 0.84 0 0.76 0.33333 0.61532 0.52167 0.27988 0.0911 0.11813 0.255 0.067577 0.17068 0 0.71496 1.2632 0 0.2
0.02 0.80333 1 0.07 0.89125 0.49333 0.73532 0.36167 0.43988 0.2911 0.31813 0.455 2.5966e-09 1.5053e-08 1.6864e-09 0.35157 1.1016 0.036339 0.2
0.02 1 1 0.07 1 0.49333 0.73532 0.36167 0.43988 0.2911 0.31813 0.455 9.5993e-23 2.1961e-15 2.4245e-16 5.0545e-08 1.1563 0.036339 0.2
0.02 1 1 0.07 1 0.49333 0.60199 0.36167 0.43988 0.42443 0.45146 0.455 8.6565e-23 1.9804e-15 2.1864e-16 4.5581e-08 1.0428 0.03277 0.2
